soccode,soctitle,onetcode,onettitle,occupation,freq,source
19-2042,"Geoscientists, except hydrologists and geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers",PROJECT GEOLOGIST,8,ONET-DUP
19-2042,"Geoscientists, except hydrologists and geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers",GEOCHEMIST,7,DMTF
19-2042,"Geoscientists, except hydrologists and geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers",SEISMOLOGIST,7,DMTF
19-2042,"Geoscientists, except hydrologists and geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers",GEODESIST,5,DMTF
19-2042,"Geoscientists, except hydrologists and geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers",MARINE GEOLOGIST,4,ONET-DUP
19-2042,"Geoscientists, except hydrologists and geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers",MINERALOGIST,3,DMTF
19-2042,"Geoscientists, except hydrologists and geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers",FIELD GEOLOGIST,3,ONET-DUP
19-2042,"Geoscientists, except hydrologists and geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers",CORE ANALYST,2,ONET-DUP
19-2042,"Geoscientists, except hydrologists and geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers",EXPLORATION GEOLOGIST,1,DMTF
19-2042,"Geoscientists, except hydrologists and geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers",OCEANOLOGIST,1,DMTF
19-2042,"Geoscientists, except hydrologists and geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers",VOLCANOLOGIST,1,DMTF
19-2042,"Geoscientists, except hydrologists and geographers",19-2042.00,"Geoscientists, Except Hydrologists and Geographers",PETROGRAPHER,1,ONET-DUP
19-2043,Hydrologists,19-2043.00,Hydrologists,HYDROLOGIST,137,DMTF
19-2043,Hydrologists,19-2043.00,Hydrologists,HYDROGEOLOGIST,81,DMTF
19-2099,"Physical scientists, all other",19-2099.00,"Physical Scientists, All Other",INVENTOR,73,ONET-DM
19-2099,"Physical scientists, all other",19-2099.00,"Physical Scientists, All Other",PHYSICAL SCIENTIST,54,DMTF
19-2099,"Physical scientists, all other",19-2099.01,Remote Sensing Scientists and Technologists,REMOTE SENSING ENGINEER,1,ONET-DUP
19-2099,"Physical scientists, all other",19-2099.01,Remote Sensing Scientists and Technologists,REMOTE SENSING SPECIALIST,1,ONET-DUP
19-2099,"Physical scientists, all other",19-2099.01,Remote Sensing Scientists and Technologists,LIDAR ANALYST,1,ONET-DUP
19-3011,Economists,19-3011.00,Economists,ECONOMIST,1315,DMTF
19-3011,Economists,19-3011.00,Economists,POLICY ADVISOR,198,ONET-DUP
19-3011,Economists,19-3011.00,Economists,ECONOMIC CONSULTANT,36,ONET-DUP
19-3011,Economists,19-3011.00,Economists,HEALTH ECONOMIST,34,ONET-DM
19-3011,Economists,19-3011.00,Economists,HEALTH RESEARCHER,26,ONET-DM
19-3011,Economists,19-3011.00,Economists,ECONOMIC ANALYST,16,ONET-DUP
19-3011,Economists,19-3011.00,Economists,ECONOMIC DEVELOPMENT SPECIALIST,11,DMTF
19-3011,Economists,19-3011.00,Economists,ECONOMISTS,10,ONET-DUP
19-3011,Economists,19-3011.00,Economists,AGRICULTURAL ECONOMIST,8,DMTF
19-3011,Economists,19-3011.00,Economists,ENVIRONMENTAL ECONOMIST,5,DMTF
19-3011,Economists,19-3011.00,Economists,FINANCIAL ECONOMIST,5,ONET-DM
19-3011,Economists,19-3011.00,Economists,SOCIAL ECONOMIST,3,DMTF
19-3011,Economists,19-3011.00,Economists,TAX ECONOMIST,2,DMTF
19-3011,Economists,19-3011.00,Economists,BUSINESS ECONOMIST,2,ONET-DUP
19-3011,Economists,19-3011.00,Economists,LABOR ECONOMIST,1,DMTF
19-3011,Economists,19-3011.00,Economists,ECONOMIC ADVISER,1,ONET-DUP
19-3011,Economists,19-3011.01,Environmental Economists,PRINCIPAL ASSOCIATE,9,ONET-DM
19-3011,Economists,19-3011.01,Environmental Economists,SENIOR ECONOMIST,5,ONET-DM
19-3011,Economists,19-3011.01,Environmental Economists,ENERGY ECONOMIST,5,ONET-DUP
19-3022,Survey researchers,19-3022.00,Survey Researchers,RESEARCH FELLOW,216,ONET-DUP
19-3022,Survey researchers,19-3022.00,Survey Researchers,POLLSTER,32,DMTF
19-3022,Survey researchers,19-3022.00,Survey Researchers,SURVEY RESEARCHER,10,DMTF
19-3022,Survey researchers,19-3022.00,Survey Researchers,DATA COLLECTION SPECIALIST,2,ONET-DUP
19-3022,Survey researchers,19-3022.00,Survey Researchers,SURVEY ASSOCIATE,2,ONET-DUP
19-3022,Survey researchers,19-3022.00,Survey Researchers,SURVEY RESEARCH ANALYST,2,ONET-DUP
19-3031,"Clinical, counseling, and school psychologists",19-3031.00,"Clinical, Counseling, and School Psychologists",SCHOOL PSYCHOLOGIST,1160,DMTF
19-3031,"Clinical, counseling, and school psychologists",19-3031.00,"Clinical, Counseling, and School Psychologists",CLINICAL PSYCHOLOGIST,518,DMTF
19-3031,"Clinical, counseling, and school psychologists",19-3031.00,"Clinical, Counseling, and School Psychologists",CHILD PSYCHOLOGIST,37,DMTF
19-3031,"Clinical, counseling, and school psychologists",19-3031.00,"Clinical, Counseling, and School Psychologists",EDUCATIONAL PSYCHOLOGIST,24,DMTF
19-3031,"Clinical, counseling, and school psychologists",19-3031.00,"Clinical, Counseling, and School Psychologists",PEDIATRIC PSYCHOLOGIST,8,DMTF
19-3031,"Clinical, counseling, and school psychologists",19-3031.01,School Psychologists,EDUCATIONAL DIAGNOSTICIAN,48,ONET-DM
19-3031,"Clinical, counseling, and school psychologists",19-3031.02,Clinical Psychologists,PSYCHOLOGIST,7058,ONET-DUP
19-3031,"Clinical, counseling, and school psychologists",19-3031.02,Clinical Psychologists,BEHAVIOR SPECIALIST,91,ONET-DUP
19-3031,"Clinical, counseling, and school psychologists",19-3031.02,Clinical Psychologists,CLINICAL THERAPIST,74,ONET-DUP
19-3031,"Clinical, counseling, and school psychologists",19-3031.02,Clinical Psychologists,LICENSED PSYCHOLOGIST,44,ONET-DUP
19-3031,"Clinical, counseling, and school psychologists",19-3031.02,Clinical Psychologists,BEHAVIORAL HEALTH SPECIALIST,28,ONET-DUP
19-3031,"Clinical, counseling, and school psychologists",19-3031.02,Clinical Psychologists,LICENSED CLINICAL PSYCHOLOGIST,15,ONET-DM
19-3031,"Clinical, counseling, and school psychologists",19-3031.02,Clinical Psychologists,BEHAVIORAL PSYCHOLOGIST,2,ONET-DUP
19-3031,"Clinical, counseling, and school psychologists",19-3031.02,Clinical Psychologists,CHIEF PSYCHOLOGIST,2,ONET-DUP
19-3031,"Clinical, counseling, and school psychologists",19-3031.02,Clinical Psychologists,CRIMINAL PSYCHOLOGIST,1,ONET-DUP
19-3031,"Clinical, counseling, and school psychologists",19-3031.03,Counseling Psychologists,COUNSELING PSYCHOLOGIST,7,ONET-DUP
19-3031,"Clinical, counseling, and school psychologists",19-3031.03,Counseling Psychologists,UNIVERSITY COUNSELOR,7,ONET-DUP
19-3031,"Clinical, counseling, and school psychologists",19-3031.03,Counseling Psychologists,SEXUAL ASSAULT RESPONSE COORDINATOR,5,ONET-DUP
19-3031,"Clinical, counseling, and school psychologists",19-3031.03,Counseling Psychologists,COUNSELING SERVICES DIRECTOR,1,ONET-DUP
19-3031,"Clinical, counseling, and school psychologists",19-3031.03,Counseling Psychologists,COUNSELING SPECIALIST,1,ONET-DUP
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,SENIOR CONSULTANT,257,ONET-DUP
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,ORGANIZATIONAL PSYCHOLOGIST,24,DMTF
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,ORGANIZATIONAL CONSULTANT,24,ONET-DM
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,SENIOR RESEARCH FELLOW,9,ONET-DUP
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,INTERNAL CONSULTANT,5,ONET-DUP
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,ORGANIZATIONAL DEVELOPMENT SPECIALIST,5,ONET-DUP
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,MANAGEMENT PSYCHOLOGIST,3,DMTF
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,ORGANIZATIONAL DEVELOPMENT DIRECTOR,3,ONET-DUP
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,PERSONNEL PSYCHOLOGIST,3,ONET-DUP
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,INDUSTRIAL PSYCHOLOGIST,2,DMTF
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,ORGANIZATIONAL RESEARCH CONSULTANT,2,DMTF
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,"DIRECTOR, LEARNING AND DEVELOPMENT",2,ONET-DUP
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,ORGANIZATIONAL DEVELOPMENT MANAGER,2,ONET-DUP
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,ENGINEERING PSYCHOLOGIST,1,DMTF
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,I/O PSYCHOLOGIST,1,DMTF
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,ASSESSMENT SERVICES MANAGER,1,ONET-DUP
19-3032,Industrial-organizational psychologists,19-3032.00,Industrial-Organizational Psychologists,PROGRAM EVALUATION CONSULTANT,1,ONET-DUP
19-3039,"Psychologists, all other",19-3039.00,"Psychologists, All Other",PSYCHOTHERAPIST,4687,DMTF
19-3039,"Psychologists, all other",19-3039.00,"Psychologists, All Other",PSYCHOLOGY,219,ONET-DUP
19-3039,"Psychologists, all other",19-3039.00,"Psychologists, All Other",NEUROPSYCHOLOGIST,173,DMTF
19-3039,"Psychologists, all other",19-3039.00,"Psychologists, All Other",RESEARCH PSYCHOLOGIST,46,ONET-DUP
19-3039,"Psychologists, all other",19-3039.00,"Psychologists, All Other",FORENSIC PSYCHOLOGIST,42,DMTF
19-3039,"Psychologists, all other",19-3039.00,"Psychologists, All Other",BEHAVIORAL SPECIALIST,23,ONET-DUP
19-3039,"Psychologists, all other",19-3039.00,"Psychologists, All Other",DEVELOPMENTAL PSYCHOLOGIST,1,DMTF
19-3039,"Psychologists, all other",19-3039.00,"Psychologists, All Other",REHABILITATION PSYCHOLOGIST,1,DMTF
19-3039,"Psychologists, all other",19-3039.00,"Psychologists, All Other",SOCIAL PSYCHOLOGIST,1,DMTF
19-3039,"Psychologists, all other",19-3039.00,"Psychologists, All Other",SPORTS PSYCHOLOGIST,1,DMTF
19-3039,"Psychologists, all other",19-3039.00,"Psychologists, All Other",SPORTS THERAPIST,1,ONET-DUP
19-3039,"Psychologists, all other",19-3039.01,Neuropsychologists and Clinical Neuropsychologists,CLINICAL NEUROPSYCHOLOGIST,8,ONET-DM
19-3039,"Psychologists, all other",19-3039.01,Neuropsychologists and Clinical Neuropsychologists,MENTAL HEALTH DIRECTOR,7,ONET-DUP
19-3039,"Psychologists, all other",19-3039.01,Neuropsychologists and Clinical Neuropsychologists,PEDIATRIC NEUROPSYCHOLOGIST,4,ONET-DUP
19-3041,Sociologists,19-3041.00,Sociologists,SOCIOLOGIST,102,DMTF
19-3041,Sociologists,19-3041.00,Sociologists,R&D MANAGER,21,ONET-DUP
19-3041,Sociologists,19-3041.00,Sociologists,CRIMINOLOGIST,15,DMTF
19-3041,Sociologists,19-3041.00,Sociologists,EVALUATION MANAGER,11,ONET-DUP
19-3041,Sociologists,19-3041.00,Sociologists,SOCIOLOGISTS,1,ONET-DUP
19-3041,Sociologists,19-3041.00,Sociologists,MEDICAL SOCIOLOGIST,1,ONET-DUP
19-3041,Sociologists,19-3041.00,Sociologists,RESEARCH AND EVALUATION MANAGER,1,ONET-DUP
19-3041,Sociologists,19-3041.00,Sociologists,RESEARCH CENTER DIRECTOR,1,ONET-DUP
19-3051,Urban and regional planners,19-3051.00,Urban and Regional Planners,URBAN PLANNER,637,DMTF
19-3051,Urban and regional planners,19-3051.00,Urban and Regional Planners,CITY PLANNER,497,DMTF
19-3051,Urban and regional planners,19-3051.00,Urban and Regional Planners,COMMUNITY PLANNER,42,ONET-DUP
19-3051,Urban and regional planners,19-3051.00,Urban and Regional Planners,REGIONAL PLANNER,38,DMTF
19-3051,Urban and regional planners,19-3051.00,Urban and Regional Planners,DEVELOPER ADVOCATE,25,ONET-DM
19-3051,Urban and regional planners,19-3051.00,Urban and Regional Planners,COMMUNITY DEVELOPMENT DIRECTOR,11,ONET-DUP
19-3051,Urban and regional planners,19-3051.00,Urban and Regional Planners,COMMUNITY DEVELOPMENT PLANNER,5,DMTF
19-3051,Urban and regional planners,19-3051.00,Urban and Regional Planners,MASTER PLANNER,4,ONET-DUP
19-3051,Urban and regional planners,19-3051.00,Urban and Regional Planners,HOUSING GRANT ANALYST,2,ONET-DUP
19-3051,Urban and regional planners,19-3051.00,Urban and Regional Planners,NEIGHBORHOOD PLANNER,2,ONET-DUP
19-3091,Anthropologists and archeologists,19-3091.00,Anthropologists and Archeologists,ARCHAEOLOGIST,488,DMTF
19-3091,Anthropologists and archeologists,19-3091.00,Anthropologists and Archeologists,ANTHROPOLOGIST,121,DMTF
19-3091,Anthropologists and archeologists,19-3091.00,Anthropologists and Archeologists,RESEARCH ANTHROPOLOGIST,2,DMTF
19-3091,Anthropologists and archeologists,19-3091.01,Anthropologists,EVALUATION SPECIALIST,14,ONET-DUP
19-3091,Anthropologists and archeologists,19-3091.01,Anthropologists,PROJECT EVALUATOR,3,ONET-DUP
19-3091,Anthropologists and archeologists,19-3091.02,Archeologists,ASSOCIATE DIRECTOR,665,ONET-DM
19-3091,Anthropologists and archeologists,19-3091.02,Archeologists,ARCHEOLOGIST,30,ONET-DM
19-3092,Geographers,19-3092.00,Geographers,GEOGRAPHER,128,DMTF
19-3092,Geographers,19-3092.00,Geographers,ECONOMIC GEOGRAPHER,1,DMTF
19-3092,Geographers,19-3092.00,Geographers,GEOMORPHOLOGIST,1,DMTF
19-3092,Geographers,19-3092.00,Geographers,SUPERVISORY GEOGRAPHER,1,ONET-DUP
19-3093,Historians,19-3093.00,Historians,HISTORIAN,403,ONET-DUP
19-3093,Historians,19-3093.00,Historians,GENEALOGIST,69,DMTF
19-3093,Historians,19-3093.00,Historians,PROGRAMS DIRECTOR,25,ONET-DUP
19-3093,Historians,19-3093.00,Historians,ORAL HISTORIAN,14,ONET-DUP
19-3093,Historians,19-3093.00,Historians,HISTORIC PRESERVATIONIST,12,ONET-DUP
19-3093,Historians,19-3093.00,Historians,HISTORIC INTERPRETER,11,ONET-DM
19-3093,Historians,19-3093.00,Historians,MEDICAL HISTORIAN,2,ONET-DUP
19-3093,Historians,19-3093.00,Historians,FILM HISTORIAN,1,ONET-DUP
19-3093,Historians,19-3093.00,Historians,RESEARCH HISTORIAN,1,ONET-DUP
19-3094,Political scientists,19-3094.00,Political Scientists,DEPUTY DIRECTOR,342,ONET-DM
19-3094,Political scientists,19-3094.00,Political Scientists,POLITICAL CONSULTANT,318,DMTF
19-3094,Political scientists,19-3094.00,Political Scientists,LEGISLATIVE ANALYST,70,ONET-DM
19-3094,Political scientists,19-3094.00,Political Scientists,POLITICAL ANALYST,23,ONET-DUP
19-3094,Political scientists,19-3094.00,Political Scientists,GOVERNMENT AFFAIRS SPECIALIST,9,DMTF
19-3094,Political scientists,19-3094.00,Political Scientists,POLITICAL RESEARCHER,7,DMTF
19-3094,Political scientists,19-3094.00,Political Scientists,POLITICAL RESEARCHER,7,ONET-DUP
19-3099,"Social scientists and related workers, all other",19-3099.00,"Social Scientists and Related Workers, All Other",LINGUIST,125,DMTF
19-3099,"Social scientists and related workers, all other",19-3099.00,"Social Scientists and Related Workers, All Other",SOCIAL SCIENTIST,52,DMTF
19-3099,"Social scientists and related workers, all other",19-3099.00,"Social Scientists and Related Workers, All Other",DEMOGRAPHER,26,DMTF
19-3099,"Social scientists and related workers, all other",19-3099.00,"Social Scientists and Related Workers, All Other",PSYCHOMETRICIAN,26,ONET-DUP
19-3099,"Social scientists and related workers, all other",19-3099.00,"Social Scientists and Related Workers, All Other",BEHAVIORAL SCIENTIST,25,DMTF
19-3099,"Social scientists and related workers, all other",19-3099.00,"Social Scientists and Related Workers, All Other",JURY CONSULTANT,9,ONET-DUP
19-3099,"Social scientists and related workers, all other",19-3099.00,"Social Scientists and Related Workers, All Other",PUBLIC HEALTH POLICY ANALYST,1,ONET-DUP
19-3099,"Social scientists and related workers, all other",19-3099.01,Transportation Planners,TRANSPORTATION PLANNER,317,ONET-DUP
19-3099,"Social scientists and related workers, all other",19-3099.01,Transportation Planners,TRANSIT PLANNER,51,ONET-DM
19-4011,Agricultural and food science technicians,19-4011.00,Agricultural and Food Science Technicians,SEED ANALYST,3,DMTF
19-4011,Agricultural and food science technicians,19-4011.00,Agricultural and Food Science Technicians,DAIRY TECHNICIAN,2,DMTF
19-4011,Agricultural and food science technicians,19-4011.01,Agricultural Technicians,RESEARCH TECHNOLOGIST,54,ONET-DM
19-4011,Agricultural and food science technicians,19-4011.01,Agricultural Technicians,AGRICULTURAL SPECIALIST,5,ONET-DUP
19-4011,Agricultural and food science technicians,19-4011.01,Agricultural Technicians,HORTICULTURAL TECHNICIAN,3,ONET-DUP
19-4011,Agricultural and food science technicians,19-4011.01,Agricultural Technicians,AGRICULTURAL RESEARCHER,1,ONET-DUP
19-4011,Agricultural and food science technicians,19-4011.01,Agricultural Technicians,SEED TECHNICIAN,1,ONET-DUP
19-4011,Agricultural and food science technicians,19-4011.01,Agricultural Technicians,SUSTAINABLE AGRICULTURE SPECIALIST,1,ONET-DUP
19-4011,Agricultural and food science technicians,19-4011.02,Food Science Technicians,TECHNICAL SERVICES ANALYST,12,ONET-DUP
19-4011,Agricultural and food science technicians,19-4011.02,Food Science Technicians,DAIRY TESTER,1,ONET-DUP
19-4011,Agricultural and food science technicians,19-4011.02,Food Science Technicians,SENSORY SCIENTIST,1,ONET-DUP
19-4011,Agricultural and food science technicians,19-4011.02,Food Science Technicians,TASTE TESTER,1,ONET-DUP
19-4011,Agricultural and food science technicians,19-4011.02,Food Science Technicians,CLT,1,ONET-DUP
19-4021,Biological technicians,19-4021.00,Biological Technicians,BIOLOGICAL SCIENCE TECHNICIAN,24,ONET-DUP
19-4021,Biological technicians,19-4021.00,Biological Technicians,STAFF RESEARCH ASSOCIATE,16,ONET-DUP
19-4021,Biological technicians,19-4021.00,Biological Technicians,WILDLIFE TECHNICIAN,15,DMTF
19-4021,Biological technicians,19-4021.00,Biological Technicians,MICROBIOLOGY TECHNICIAN,7,DMTF
19-4021,Biological technicians,19-4021.00,Biological Technicians,BIOLOGICAL TECHNICIAN,7,ONET-DUP
19-4021,Biological technicians,19-4021.00,Biological Technicians,SPECIMEN TECHNICIAN,7,ONET-DUP
19-4021,Biological technicians,19-4021.00,Biological Technicians,BIOTECHNOLOGIST,3,ONET-DUP
19-4021,Biological technicians,19-4021.00,Biological Technicians,GAME TECHNICIAN,2,ONET-DUP
19-4021,Biological technicians,19-4021.00,Biological Technicians,BIOLOGY LABORATORY ASSISTANT,1,DMTF
19-4021,Biological technicians,19-4021.00,Biological Technicians,AQUATICS TECHNICIAN,1,ONET-DUP
19-4031,Chemical technicians,19-4031.00,Chemical Technicians,LAB ANALYST,71,ONET-DUP
19-4031,Chemical technicians,19-4031.00,Chemical Technicians,CHEMICAL TECHNICIAN,25,DMTF
19-4031,Chemical technicians,19-4031.00,Chemical Technicians,PERFUMER,19,ONET-DUP
19-4031,Chemical technicians,19-4031.00,Chemical Technicians,CHEMISTRY RESEARCH ASSISTANT,4,ONET-DUP
19-4031,Chemical technicians,19-4031.00,Chemical Technicians,SENIOR LAB TECHNICIAN,4,ONET-DUP
19-4031,Chemical technicians,19-4031.00,Chemical Technicians,LAB TESTER,3,ONET-DUP
19-4031,Chemical technicians,19-4031.00,Chemical Technicians,ANALYTICAL TECHNICIAN,1,ONET-DUP
19-4031,Chemical technicians,19-4031.00,Chemical Technicians,CHEMIST ASSISTANT,1,ONET-DUP
19-4031,Chemical technicians,19-4031.00,Chemical Technicians,FIBER ANALYST,1,ONET-DUP
19-4031,Chemical technicians,19-4031.00,Chemical Technicians,FORMULATION TECHNICIAN,1,ONET-DUP
19-4031,Chemical technicians,19-4031.00,Chemical Technicians,TEXTILE TECHNOLOGIST,1,ONET-DUP
19-4031,Chemical technicians,19-4031.00,Chemical Technicians,ORGANIC PREP ANALYST,1,ONET-DUP
19-4041,Geological and petroleum technicians,19-4041.00,Geological and Petroleum Technicians,PETROLEUM TECHNICIAN,2,DMTF
19-4041,Geological and petroleum technicians,19-4041.01,Geophysical Data Technicians,LOCATOR,11,ONET-DUP
19-4041,Geological and petroleum technicians,19-4041.01,Geophysical Data Technicians,GEOTECHNICIAN,5,ONET-DUP
19-4041,Geological and petroleum technicians,19-4041.01,Geophysical Data Technicians,GEOSCIENCE TECHNICIAN,2,ONET-DUP
19-4041,Geological and petroleum technicians,19-4041.01,Geophysical Data Technicians,EXPLORATION MANAGER,1,ONET-DUP
19-4041,Geological and petroleum technicians,19-4041.01,Geophysical Data Technicians,LINE LOCATOR,1,ONET-DUP
19-4041,Geological and petroleum technicians,19-4041.02,Geological Sample Test Technicians,PHYSICAL SCIENCE TECHNICIAN,6,ONET-DUP
19-4041,Geological and petroleum technicians,19-4041.02,Geological Sample Test Technicians,EXPLORER,5,ONET-DUP
19-4041,Geological and petroleum technicians,19-4041.02,Geological Sample Test Technicians,MATERIALS TECHNICIAN,3,ONET-DUP
19-4041,Geological and petroleum technicians,19-4041.02,Geological Sample Test Technicians,DRILLING FLUIDS SPECIALIST,2,ONET-DUP
19-4041,Geological and petroleum technicians,19-4041.02,Geological Sample Test Technicians,PETROLEUM ANALYST,2,ONET-DUP
19-4041,Geological and petroleum technicians,19-4041.02,Geological Sample Test Technicians,WELL TESTER,2,ONET-DUP
19-4041,Geological and petroleum technicians,19-4041.02,Geological Sample Test Technicians,GAS ANALYST,1,ONET-DUP
19-4041,Geological and petroleum technicians,19-4041.02,Geological Sample Test Technicians,OIL ANALYST,1,ONET-DUP
19-4051,Nuclear technicians,19-4051.00,Nuclear Technicians,NUCLEAR TECHNICIAN,4,DMTF
19-4051,Nuclear technicians,19-4051.00,Nuclear Technicians,RADIATION PROTECTION TECHNICIAN,1,DMTF
19-4051,Nuclear technicians,19-4051.01,Nuclear Equipment Operation Technicians,ACCELERATOR OPERATOR,3,ONET-DUP
19-4051,Nuclear technicians,19-4051.01,Nuclear Equipment Operation Technicians,ACCELERATOR TECHNICIAN,1,ONET-DUP
19-4051,Nuclear technicians,19-4051.01,Nuclear Equipment Operation Technicians,FACILITIES OPERATOR,1,ONET-DUP
19-4051,Nuclear technicians,19-4051.02,Nuclear Monitoring Technicians,CATHODIC PROTECTION TECHNICIAN,1,ONET-DUP
19-4061,Social science research assistants,19-4061.00,Social Science Research Assistants,RESEARCH ASSISTANT,3098,ONET-DUP
19-4061,Social science research assistants,19-4061.00,Social Science Research Assistants,RESEARCH ASSOCIATE,1079,ONET-DUP
19-4061,Social science research assistants,19-4061.00,Social Science Research Assistants,RESEARCH SPECIALIST,262,ONET-DUP
19-4061,Social science research assistants,19-4061.00,Social Science Research Assistants,POSTDOCTORAL RESEARCH ASSOCIATE,39,ONET-DUP
19-4061,Social science research assistants,19-4061.00,Social Science Research Assistants,RESEARCH AIDE,12,ONET-DUP
19-4061,Social science research assistants,19-4061.00,Social Science Research Assistants,SOCIAL SCIENCE RESEARCH ANALYST,6,ONET-DUP
19-4061,Social science research assistants,19-4061.00,Social Science Research Assistants,SOCIAL RESEARCH ASSISTANT,1,ONET-DUP
19-4061,Social science research assistants,19-4061.01,City and Regional Planning Aides,PLANNER,1418,ONET-DUP
19-4061,Social science research assistants,19-4061.01,City and Regional Planning Aides,PLANNING ASSISTANT,9,ONET-DUP
19-4061,Social science research assistants,19-4061.01,City and Regional Planning Aides,PLANNING INTERN,6,ONET-DUP
19-4061,Social science research assistants,19-4061.01,City and Regional Planning Aides,REGIONAL LIAISON,2,ONET-DUP
19-4061,Social science research assistants,19-4061.01,City and Regional Planning Aides,ZONING TECHNICIAN,2,ONET-DUP
19-4091,"Environmental science and protection technicians, including health",19-4091.00,"Environmental Science and Protection Technicians, Including Health",ENVIRONMENTAL HEALTH SPECIALIST,47,ONET-DUP
19-4091,"Environmental science and protection technicians, including health",19-4091.00,"Environmental Science and Protection Technicians, Including Health",EHS SPECIALIST,36,ONET-DUP
19-4091,"Environmental science and protection technicians, including health",19-4091.00,"Environmental Science and Protection Technicians, Including Health",LABORATORY SPECIALIST,10,ONET-DUP
19-4091,"Environmental science and protection technicians, including health",19-4091.00,"Environmental Science and Protection Technicians, Including Health",CHEMICAL LAB TECHNICIAN,6,ONET-DUP
19-4091,"Environmental science and protection technicians, including health",19-4091.00,"Environmental Science and Protection Technicians, Including Health",PUBLIC HEALTH SANITARIAN,5,ONET-DUP
19-4091,"Environmental science and protection technicians, including health",19-4091.00,"Environmental Science and Protection Technicians, Including Health",HAZARDOUS WASTE TECHNICIAN,4,ONET-DUP
19-4091,"Environmental science and protection technicians, including health",19-4091.00,"Environmental Science and Protection Technicians, Including Health",AIR QUALITY TECHNICIAN,2,DMTF
19-4091,"Environmental science and protection technicians, including health",19-4091.00,"Environmental Science and Protection Technicians, Including Health",DECONTAMINATION TECHNICIAN,2,ONET-DUP
19-4091,"Environmental science and protection technicians, including health",19-4091.00,"Environmental Science and Protection Technicians, Including Health",SAMPLE PREP TECHNICIAN,2,ONET-DUP
19-4091,"Environmental science and protection technicians, including health",19-4091.00,"Environmental Science and Protection Technicians, Including Health",RADON INSPECTOR,1,DMTF
19-4091,"Environmental science and protection technicians, including health",19-4091.00,"Environmental Science and Protection Technicians, Including Health",BIOLOGICAL LAB TECHNICIAN,1,ONET-DUP
19-4092,Forensic science technicians,19-4092.00,Forensic Science Technicians,FORENSIC SCIENTIST,109,ONET-DUP
19-4092,Forensic science technicians,19-4092.00,Forensic Science Technicians,FORENSIC ANALYST,10,DMTF
19-4092,Forensic science technicians,19-4092.00,Forensic Science Technicians,CRIME SCENE TECHNICIAN,4,DMTF
19-4092,Forensic science technicians,19-4092.00,Forensic Science Technicians,FORENSIC EXAMINER,4,ONET-DUP
19-4092,Forensic science technicians,19-4092.00,Forensic Science Technicians,DIGITAL FORENSIC EXAMINER,3,ONET-DUP
19-4092,Forensic science technicians,19-4092.00,Forensic Science Technicians,FORENSIC INVESTIGATOR,3,ONET-DUP
19-4092,Forensic science technicians,19-4092.00,Forensic Science Technicians,EVIDENCE SPECIALIST,2,ONET-DUP
19-4092,Forensic science technicians,19-4092.00,Forensic Science Technicians,FORENSIC DOCUMENT EXAMINER,2,ONET-DUP
19-4092,Forensic science technicians,19-4092.00,Forensic Science Technicians,CRIME LABORATORY ANALYST,1,ONET-DUP
19-4092,Forensic science technicians,19-4092.00,Forensic Science Technicians,FORENSIC TOXICOLOGIST,1,ONET-DUP
19-4092,Forensic science technicians,19-4092.00,Forensic Science Technicians,DNA ANALYST,1,ONET-DUP
19-4093,Forest and conservation technicians,19-4093.00,Forest and Conservation Technicians,FORESTRY TECHNICIAN,39,DMTF
19-4093,Forest and conservation technicians,19-4093.00,Forest and Conservation Technicians,FOREST TECHNICIAN,7,DMTF
